angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.03,,"(257, 121, 138, 138)",,0.0,,0.06,,0.04,,0.73,,0.13,,0.0,
0.0,,"(259, 127, 121, 121)",,0.0,,0.03,,0.08,,0.85,,0.03,,0.0,
0.0,,"(259, 127, 121, 121)",,0.0,,0.03,,0.08,,0.86,,0.03,,0.0,
0.01,,"(260, 123, 125, 125)",,0.0,,0.07,,0.04,,0.82,,0.06,,0.0,
0.04,,"(255, 120, 139, 139)",,0.0,,0.15,,0.05,,0.59,,0.18,,0.0,
0.05,,"(256, 120, 138, 138)",,0.0,,0.1,,0.06,,0.68,,0.12,,0.0,
0.02,,"(255, 119, 139, 139)",,0.0,,0.05,,0.07,,0.74,,0.12,,0.0,
0.01,,"(262, 125, 122, 122)",,0.0,,0.03,,0.1,,0.82,,0.04,,0.0,
0.04,,"(256, 128, 123, 123)",,0.0,,0.03,,0.68,,0.16,,0.09,,0.0,
0.07,,"(259, 126, 128, 128)",,0.0,,0.09,,0.3,,0.17,,0.37,,0.0,
0.07,,"(256, 130, 121, 121)",,0.0,,0.08,,0.69,,0.01,,0.11,,0.04,
0.17,,"(255, 123, 138, 138)",,0.0,,0.06,,0.66,,0.02,,0.06,,0.03,
0.11,,"(260, 122, 131, 131)",,0.0,,0.04,,0.75,,0.01,,0.06,,0.02,
0.06,,"(261, 123, 130, 130)",,0.0,,0.02,,0.87,,0.01,,0.03,,0.01,
0.08,,"(260, 122, 131, 131)",,0.0,,0.02,,0.84,,0.01,,0.03,,0.02,
0.04,,"(260, 122, 133, 133)",,0.0,,0.01,,0.93,,0.0,,0.01,,0.01,
0.01,,"(258, 121, 136, 136)",,0.0,,0.01,,0.98,,0.0,,0.0,,0.0,
0.0,,"(259, 121, 131, 131)",,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.0,,"(261, 123, 132, 132)",,0.0,,0.0,,0.99,,0.0,,0.0,,0.0,
0.0,,"(262, 124, 133, 133)",,0.0,,0.0,,0.99,,0.01,,0.0,,0.0,
0.02,,"(262, 127, 133, 133)",,0.0,,0.0,,0.97,,0.0,,0.0,,0.01,
0.01,,"(262, 128, 132, 132)",,0.0,,0.0,,0.98,,0.0,,0.0,,0.01,
0.0,,"(262, 127, 133, 133)",,0.0,,0.0,,0.99,,0.0,,0.0,,0.0,
0.02,,"(262, 127, 136, 136)",,0.0,,0.0,,0.96,,0.01,,0.0,,0.0,
0.0,,"(262, 127, 134, 134)",,0.0,,0.0,,0.99,,0.0,,0.0,,0.0,
0.01,,"(261, 127, 135, 135)",,0.0,,0.0,,0.97,,0.01,,0.0,,0.0,
