angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.03,"(257, 121, 138, 138)",0.0,0.06,0.04,0.73,0.13,0.0
0.04,"(260, 122, 133, 133)",0.0,0.01,0.93,0.0,0.01,0.01
0.02,"(262, 129, 132, 132)",0.0,0.0,0.97,0.01,0.0,0.0
0.02,"(260, 126, 127, 127)",0.0,0.34,0.02,0.32,0.18,0.12
0.05,"(259, 125, 127, 127)",0.0,0.28,0.07,0.29,0.17,0.14
0.04,"(260, 129, 135, 135)",0.0,0.0,0.93,0.01,0.0,0.01
0.03,"(260, 126, 134, 134)",0.0,0.01,0.94,0.01,0.0,0.01
0.04,"(268, 130, 129, 129)",0.0,0.01,0.93,0.01,0.0,0.01
0.01,"(264, 130, 133, 133)",0.0,0.0,0.93,0.05,0.0,0.0
0.04,"(248, 115, 139, 139)",0.0,0.03,0.81,0.0,0.01,0.11
0.16,"(240, 124, 125, 125)",0.0,0.32,0.1,0.15,0.16,0.11
0.11,"(242, 133, 119, 119)",0.0,0.06,0.74,0.04,0.03,0.02
0.09,"(240, 127, 131, 131)",0.0,0.17,0.03,0.28,0.36,0.07
0.05,"(248, 130, 134, 134)",0.0,0.4,0.0,0.3,0.2,0.05
0.31,"(250, 129, 129, 129)",0.0,0.48,0.01,0.02,0.1,0.08
0.03,"(259, 123, 127, 127)",0.0,0.7,0.0,0.05,0.09,0.13
0.16,"(269, 132, 130, 130)",0.0,0.24,0.0,0.27,0.33,0.0
0.1,"(262, 131, 134, 134)",0.0,0.18,0.21,0.34,0.1,0.06
0.15,"(263, 132, 130, 130)",0.0,0.33,0.0,0.06,0.43,0.03
0.02,"(274, 121, 135, 135)",0.0,0.02,0.9,0.0,0.01,0.05
0.0,"(274, 127, 125, 125)",0.0,0.01,0.97,0.0,0.0,0.01
0.09,"(272, 124, 131, 131)",0.0,0.41,0.01,0.12,0.28,0.1
0.04,"(268, 128, 129, 129)",0.0,0.54,0.0,0.01,0.15,0.25
0.04,"(270, 125, 130, 130)",0.0,0.35,0.0,0.27,0.34,0.0
0.02,"(271, 133, 130, 130)",0.0,0.07,0.0,0.71,0.18,0.01
0.03,"(267, 132, 130, 130)",0.0,0.51,0.01,0.29,0.15,0.02
0.02,"(273, 128, 131, 131)",0.0,0.24,0.01,0.63,0.09,0.01
