Tweet Id;Text;Name;Screen Name;UTC;Created At;Favorites;Retweets;Language;Client;Tweet Type;URLs;Hashtags;Mentions;Media Type;Media URLs;;;
1482350292087803908;"RT @ryandp_92 : @KdesterOfficial @lexniel_1921 @KDLexUnitedOFC Ayiieee. Happy for you char ahahahha

GOT YOURBACK KD";Leah Murchante;LeahMurchante;2022-01-15T13:53:45.000Z;Sat Jan 15 13:53:45 +0000 2022;0;0;en;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Retweet;;0;3;;;;;
1482350292033314816;@shiraeis Happy birthday 🎁🎂🎈 Shira;pas sim;rossisbossof;2022-01-15T13:53:45.000Z;Sat Jan 15 13:53:45 +0000 2022;0;0;en;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Reply;;0;1;;;;;
1482350291970310144;"RT @szentandrassym : @PSeabra52 @TeresaR86980558 @salahsa62527100 @Titas37 @MyYellowDreams2 @maryrhoton @GarauPina @gerrinnesmac @ManiarMuhammad @MichelleHillie9 @HarcourtDoug @nighthawkgeoff @BruynChantal @crosiglia @BabyGo2014 @DerekPa30582481 @CarlosD55587122 @Cambuci60 @NinePetanque @Adele47018578 @Muhamma53074277 @SKID1144 @kalimullah2 @rpskataria @loveGoldenHeart @QL1wBZCUsCudbqm @BarbaraLoraineN @B_D_Jha @debratankersle1 @duabusan @CarlosD98904330 @pemamasih1 @kelebek_mavi10 @663Renegade @VanCity6042 @LudmilaKliegl @time_tested123 @WhatYouWantNowU @helensmomma @Castle_Peach @CarlosD09817179 @Jonspreadlove @CarlosD51140632 @artcoaching @AngeLtongue @Bijan_Cyrus @JeanetteJoy @Kalimulah Hello Parrot . Happy Caturday &amp;  Weekend to all of you ☀️ https://t.co/CdbmG986wX";Geoff Morris #FBPE #JohnsonOut;nighthawkgeoff;2022-01-15T13:53:44.000Z;Sat Jan 15 13:53:44 +0000 2022;0;0;en;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Retweet;;0;48;photo;https://pbs.twimg.com/media/FJIi9A1XsAIrfzY.jpg;;;
1482350291886485505;RT @PetriZinni : @hotdrippinchoco Happy birthday 🥳🥳;dream3r..🔭;s3lrahc_Kstar;2022-01-15T13:53:44.000Z;Sat Jan 15 13:53:44 +0000 2022;0;0;en;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Retweet;;0;1;;;;;
1482350291760840704;RT @urstrulyMahesh : Congratulations team #HERO! Extremely happy to see the unanimous applause for the film! 👏👏👏;Balu_Prince🔔;baluprince1432;2022-01-15T13:53:44.000Z;Sat Jan 15 13:53:44 +0000 2022;0;0;en;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Retweet;;1;0;;;;;
1482350291475333121;RT @urstrulyMahesh : Congratulations team #HERO! Extremely happy to see the unanimous applause for the film! 👏👏👏;Mahesh 🇮🇳;mahesh_k_m;2022-01-15T13:53:44.000Z;Sat Jan 15 13:53:44 +0000 2022;0;0;en;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Retweet;;1;0;;;;;
1482350291093762056;"Cheers to you both, to where it all began and where it will go from here.
💕 Happy Anniversary 💕 https://t.co/6rRPMb4JFe https://t.co/P95hwVxlmd";Charlotte Monroe;VeiledCharm;2022-01-15T13:53:44.000Z;Sat Jan 15 13:53:44 +0000 2022;0;0;en;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Tweet;https://twitter.com/DepravedFate/status/1482331791537102849 ;0;0;animated_gif;https://video.twimg.com/tweet_video/FJJduvcX0AIhsxI.mp4;;;
1482350291010088962;"RT @The_Boyz_insta : HAPPY BIRTHDAY TO JUYEON📸

#20220115 #THEBOYZ #더보이즈 #JUYEON #주연 https://t.co/hYlBmUtsV2";돌핀;THEBOYZ_NEWLOVE;2022-01-15T13:53:44.000Z;Sat Jan 15 13:53:44 +0000 2022;0;0;en;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Retweet;;4;0;photo;https://pbs.twimg.com/media/FJEjr2paIAIeX9h.jpg;https://pbs.twimg.com/media/FJEjr2sacAA89pz.jpg;;
1482350290989096966;"RT @isshaaaaaa : Hoy ang cute niyo sobra.. my lumot heart is so happy

BENJI STREAM FOR A CAUSE https://t.co/xcbayv6qj0";jell;jtamyyy;2022-01-15T13:53:44.000Z;Sat Jan 15 13:53:44 +0000 2022;0;0;tl;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Retweet;;0;0;photo;https://pbs.twimg.com/media/FJJa17YagAAY16r.jpg;;;
1482350290791763968;"RT @awaremoma : I sent my mama “The little Bitcoin Book” few weeks ago. 

She finished the book &amp; is now asking me how she can buy some #BTC ? 

I’m a happy kid";Henry Antonio Orellana Ferman;henry1334712112;2022-01-15T13:53:44.000Z;Sat Jan 15 13:53:44 +0000 2022;0;0;en;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Retweet;;1;0;;;;;
